Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
3874;CATARINENSE;FOZ DO IGUACU;CURITIBA (PR) - SANTA HELENA (PR);CURITIBA - FOZ;0;LEITO DD;DER/PR;RODOVIARIO          ;0;9;10063528;3;CURITIBA (PR) - SANTA HELENA (PR);0;Vedetes;Normal;Seccionado;Regional Sul;619
4232;EXPRESSO;EXPRESSO DO SUL;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8009741;4;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional SP - ANTT;433,8
4235;EXPRESSO;EXPRESSO DO SUL;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8009741;4;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional SP - ANTT;434,8
4545;EXPRESSO;EXPRESSO DO SUL;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;LEITO;ANTT;RODOVIARIO          ;0;9;8009741;4;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional SP - ANTT;433,8
4548;EXPRESSO;EXPRESSO DO SUL;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;LEITO;ANTT;RODOVIARIO          ;0;9;8009741;4;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional SP - ANTT;433,8
7213;COMETA;ITAPETININGA;SAO PAULO (SP) - ITAPETININGA (SP);SAO PAULO - ITAPETININGA;0;1 CLASSE GTV;ARTESP;RODOVIARIO          ;0;9;0737B-1;7;SAO PAULO (SP) - ITAPETININGA (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - Curtas;182
7222;COMETA;JUIZ DE FORA;SAO PAULO (SP) - JUIZ DE FORA (MG);SAO PAULO - SUL DE MINAS;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8006341;7;SAO PAULO (SP) - JUIZ DE FORA (MG);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;513,7
7225;COMETA;BELO HORIZONTE;SAO PAULO (SP) - BELO HORIZONTE (MG);SAO PAULO - BELO HORIZONTE;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8005641;7;SAO PAULO (SP) - BELO HORIZONTE (MG);0;Vedetes;Normal;Seccionado;Regional SP - ANTT;595,1
7226;COMETA;CURITIBA;SAO PAULO (SP) - CURITIBA (PR);SAO PAULO - CURITIBA;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8006241;7;SAO PAULO (SP) - CURITIBA (PR);0;Vedetes;Normal;Seccionado;Regional SP - ANTT;431,1
7237;COMETA;FRANCA;SAO PAULO (SP) - FRANCA (SP);SAO PAULO - FRANCA;0;1 CLASSE GTV;ARTESP;RODOVIARIO          ;0;9;0828A-2;7;SAO PAULO (SP) - FRANCA (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;453
7254;COMETA;RIBEIRAO PRETO;SAO PAULO (SP) - RIBEIRAO PRETO (SP);SAO PAULO - RIBEIRAO PRETO;0;1 CLASSE GTV;ARTESP;RODOVIARIO          ;0;9;6376A-1;7;SAO PAULO (SP) - RIBEIRAO PRETO (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;319
7257;COMETA;CAMPINAS;CAMPINAS (SP) - RIO DE JANEIRO (RJ);INTERIOR SP MG - RIO DE JANEIRO;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;8004441;7;CAMPINAS (SP) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;503,7
7281;COMETA;VOLTA REDONDA;VOLTA REDONDA (RJ) - SAO PAULO (SP);SAO PAULO - VALE DO PARAIBA;0;1 CLASSE GTV;ANTT;RODOVIARIO          ;0;9;7007441;7;VOLTA REDONDA (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;316,9
